players,items,range,obs,runtime,diff
2,20,100,20, 0.324, 1.446
2,20,100,40, 0.634, 1.297
2,20,100,80, 1.258, 0.854
2,20,100,120, 1.899, 0.591
2,20,100,160, 2.532, 0.279
3,20,100,20, 0.579, 1.565
3,20,100,40, 1.165, 1.401
3,20,100,80, 2.307, 1.212
3,20,100,120, 3.483, 1.124
3,20,100,160, 4.617, 0.964
