players,items,range,obs,runtime,diff
2,10,100,10, 0.309, 0.689
2,10,100,20, 0.605, 0.517
2,10,100,40, 1.178, 0.322
2,10,100,60, 1.545, 0.270
2,10,100,80, 2.203, 0.173
3,10,100,10, 0.450, 0.856
3,10,100,20, 1.034, 0.705
3,10,100,40, 1.716, 0.516
3,10,100,60, 2.938, 0.377
3,10,100,80, 4.166, 0.258
