players,items,range,obs,runtime,diff
2,20,100,20, 1.284, 0.486
2,20,100,40, 2.021, 0.351
2,20,100,80, 3.049, 0.204
2,20,100,120, 4.082, 0.142
2,20,100,160, 5.452, 0.106
3,20,100,20, 1.844, 0.631
3,20,100,40, 3.501, 0.470
3,20,100,80, 6.089, 0.319
3,20,100,120, 7.653, 0.217
3,20,100,160, 9.370, 0.157
