players,items,range,obs,runtime,diff
2,25,100,25, 2.005, 0.440
2,25,100,50, 3.100, 0.304
2,25,100,100, 4.517, 0.177
2,25,100,150, 5.808, 0.134
2,25,100,200, 7.636, 0.096
3,25,100,25, 2.503, 0.737
3,25,100,50, 5.367, 0.553
3,25,100,100, 8.736, 0.351
3,25,100,150,10.834, 0.273
3,25,100,200,14.140, 0.217
