players,items,range,obs,runtime,diff
2,25,100,25, 5.164, 0.412
2,25,100,50, 7.689, 0.273
2,25,100,100,11.919, 0.183
2,25,100,150,15.956, 0.124
2,25,100,200,21.117, 0.094
3,25,100,25, 7.798, 0.572
3,25,100,50,12.358, 0.382
3,25,100,100,22.916, 0.241
3,25,100,150,25.780, 0.185
3,25,100,200,40.494, 0.153
