players,items,range,obs,runtime,diff
2,20,100,20, 1.348, 0.529
2,20,100,40, 2.106, 0.351
2,20,100,80, 2.857, 0.224
2,20,100,120, 4.663, 0.186
2,20,100,160, 5.464, 0.122
3,20,100,20, 1.666, 0.724
3,20,100,40, 3.372, 0.583
3,20,100,80, 6.525, 0.357
3,20,100,120, 7.817, 0.287
3,20,100,160,10.761, 0.207
