players,items,range,obs,runtime,diff
2,20,100,20, 0.315, 1.275
2,20,100,40, 0.631, 0.895
2,20,100,80, 1.250, 0.419
2,20,100,120, 1.882, 0.255
2,20,100,160, 2.510, 0.157
3,20,100,20, 0.622, 1.457
3,20,100,40, 1.186, 1.143
3,20,100,80, 2.313, 0.970
3,20,100,120, 3.453, 0.802
3,20,100,160, 4.617, 0.757
