players,items,range,obs,runtime,diff
2,10,100,10, 0.142, 1.350
2,10,100,20, 0.288, 1.114
2,10,100,40, 0.555, 0.689
2,10,100,60, 0.831, 0.535
2,10,100,80, 1.115, 0.447
3,10,100,10, 0.246, 1.390
3,10,100,20, 0.491, 1.266
3,10,100,40, 0.984, 0.999
3,10,100,60, 1.468, 0.969
3,10,100,80, 1.950, 0.927
