players,items,range,obs,runtime,diff
2,25,100,25, 0.415, 1.566
2,25,100,50, 0.826, 1.451
2,25,100,100, 1.642, 0.930
2,25,100,150, 2.471, 0.780
2,25,100,200, 3.315, 0.598
3,25,100,25, 0.763, 1.695
3,25,100,50, 1.561, 1.618
3,25,100,100, 3.071, 1.367
3,25,100,150, 4.609, 1.320
3,25,100,200, 6.108, 1.126
