players,items,range,obs,runtime,diff
2,10,100,10, 0.309, 0.686
2,10,100,20, 0.553, 0.558
2,10,100,40, 0.935, 0.373
2,10,100,60, 1.416, 0.239
2,10,100,80, 1.848, 0.167
3,10,100,10, 0.419, 0.817
3,10,100,20, 0.893, 0.627
3,10,100,40, 2.141, 0.469
3,10,100,60, 3.132, 0.352
3,10,100,80, 3.616, 0.271
