players,items,range,obs,runtime,diff
2,10,100,5, 0.671, 0.130
2,10,100,10, 0.637, 0.073
2,10,100,20, 0.563, 0.037
2,10,100,40, 0.829, 0.016
2,10,100,60, 0.748, 0.007
3,10,100,5, 1.421, 0.202
3,10,100,10, 1.217, 0.118
3,10,100,20, 1.355, 0.056
3,10,100,40, 1.759, 0.026
3,10,100,60, 2.257, 0.012
