players,items,range,obs,runtime,diff
2,10,100,10, 0.310, 0.796
2,10,100,20, 0.610, 0.531
2,10,100,40, 1.020, 0.360
2,10,100,60, 1.651, 0.276
2,10,100,80, 2.088, 0.213
3,10,100,10, 0.431, 0.805
3,10,100,20, 0.907, 0.634
3,10,100,40, 1.979, 0.503
3,10,100,60, 2.597, 0.353
3,10,100,80, 3.863, 0.314
