players,items,range,obs,runtime,diff
2,20,100,20, 1.298, 0.532
2,20,100,40, 2.160, 0.364
2,20,100,80, 3.190, 0.236
2,20,100,120, 4.484, 0.159
2,20,100,160, 5.546, 0.129
3,20,100,20, 2.007, 0.719
3,20,100,40, 3.504, 0.503
3,20,100,80, 5.789, 0.347
3,20,100,120, 8.840, 0.240
3,20,100,160, 9.699, 0.191
