players,items,range,obs,runtime,diff
2,25,100,25, 0.412, 1.278
2,25,100,50, 0.821, 0.975
2,25,100,100, 1.650, 0.670
2,25,100,150, 2.462, 0.373
2,25,100,200, 3.290, 0.172
3,25,100,25, 0.829, 1.566
3,25,100,50, 1.700, 1.316
3,25,100,100, 3.283, 1.209
3,25,100,150, 4.763, 1.055
3,25,100,200, 6.433, 0.999
