n,r,o,runtime,error
60,100, 30,15.091, 0.131
60,100, 60,19.304, 0.063
60,100,120,22.698, 0.033
60,100,240,30.205, 0.021
60,100,360,39.203, 0.012
60,100,480,45.680, 0.009
