n,r,o,runtime,error
40,100,20, 2.532, 0.105
40,100,40, 3.503, 0.069
40,100,80, 4.088, 0.040
40,100,160, 6.218, 0.022
40,100,240, 8.252, 0.010
40,100,320, 9.728, 0.009
