n,r,o,runtime,error
60,100,30, 9.023, 0.067
60,100,60,10.529, 0.040
60,100,120,12.045, 0.022
60,100,240,17.373, 0.011
60,100,360,22.339, 0.005
60,100,480,28.094, 0.004
