cap,o,runtime,error
 0.200,40,20.090, 1.396
 0.200,80,40.143, 1.259
 0.200,120,60.329, 1.196
 0.200,160,80.232, 1.089
 0.400,40,20.134, 1.079
 0.400,80,40.323, 0.691
 0.400,120,61.271, 0.409
 0.400,160,56.969, 0.295
 0.600,40,20.112, 0.872
 0.600,80,34.034, 0.132
 0.600,120, 1.471, 0.000
 0.600,160, 1.190, 0.000
 0.800,40,20.104, 0.775
 0.800,80,41.064, 0.269
 0.800,120,28.631, 0.000
 0.800,160,19.501, 0.000
