n,r,o,runtime,error
40,100,20, 2.568, 0.105
40,100,40, 3.540, 0.069
40,100,80, 4.111, 0.040
40,100,160, 6.220, 0.022
40,100,240, 8.227, 0.010
40,100,320, 9.606, 0.009
