n,r,o,runtime,error
20,100,10, 0.330, 0.271
20,100,20, 0.601, 0.178
20,100,40, 0.775, 0.094
20,100,80, 1.421, 0.056
20,100,120, 1.950, 0.043
20,100,160, 2.298, 0.025
