n,r,o,runtime,error
20,100,10, 0.390, 0.169
20,100,20, 0.640, 0.111
20,100,40, 1.020, 0.089
20,100,80, 1.663, 0.040
20,100,120, 2.170, 0.032
20,100,160, 2.815, 0.028
