n,r,o,runtime,error
40,100,20, 3.145, 0.116
40,100,40, 4.176, 0.071
40,100,80, 6.083, 0.050
40,100,160, 9.205, 0.030
40,100,240,11.518, 0.019
40,100,320,14.732, 0.016
