n,r,o,runtime,error
60,100,30,15.092, 0.123
60,100,60,19.775, 0.063
60,100,120,25.021, 0.035
60,100,240,34.442, 0.023
60,100,360,43.893, 0.020
60,100,480,51.694, 0.014
