n,r,o,runtime,error
20,100,10, 0.391, 0.169
20,100,20, 0.632, 0.111
20,100,40, 1.052, 0.089
20,100,80, 1.690, 0.045
20,100,120, 2.230, 0.033
20,100,160, 2.933, 0.027
