n,r,o,runtime,error
40,100,20, 3.172, 0.116
40,100,40, 4.105, 0.071
40,100,80, 6.441, 0.048
40,100,160, 9.368, 0.041
40,100,240,11.490, 0.034
40,100,320,14.074, 0.017
