nodes,range,norm,mit,runtime,diff,phi,pne,inf
50,25, 0.000, 0.600, 0.266, 0.022, 0.000,20,0
50,25, 0.000, 0.750, 0.377, 0.048, 0.000,20,0
50,25, 0.100, 0.600, 0.288, 0.023, 0.000,20,0
50,25, 0.100, 0.750, 0.721, 0.053, 0.000,20,0
