nodes,range,norm,mit,runtime,diff,phi,pne,inf
70,25, 0.000, 0.600, 0.864, 0.023, 0.000,20,0
70,25, 0.000, 0.750, 1.480, 0.046, 0.000,20,0
70,25, 0.100, 0.600, 0.770, 0.025, 0.000,20,0
70,25, 0.100, 0.750, 2.717, 0.054, 0.000,20,0
