nodes,range,norm,mit,runtime,diff,phi,pne,inf
200,25, 0.000, 0.600,37.982, 0.003, 0.000,18,2
200,25, 0.000, 0.750,11.797, 0.003, 0.000,20,0
200,25, 0.100, 0.600, 9.522, 0.003, 0.000,20,0
200,25, 0.100, 0.750,25.753, 0.004, 0.000,19,1
