nodes,range,norm,mit,runtime,diff,phi,pne,inf
30,25, 0.000, 0.600, 0.085, 0.023, 0.825,0,0
30,25, 0.000, 0.750, 0.088, 0.031, 0.816,0,0
30,25, 0.100, 0.600, 0.086, 0.019, 0.781,0,0
30,25, 0.100, 0.750, 0.089, 0.027, 0.796,0,0
