nodes,range,norm,mit,runtime,diff,phi,pne,inf
70,25, 0.000, 0.600, 0.503, 0.008, 0.000,20,0
70,25, 0.000, 0.750, 0.720, 0.015, 0.000,20,0
70,25, 0.100, 0.600, 0.397, 0.007, 0.000,20,0
70,25, 0.100, 0.750, 0.922, 0.022, 0.000,20,0
