nodes,range,norm,mit,runtime,diff,phi,pne,inf
100,25, 0.000, 0.600, 2.223, 0.006, 0.000,20,0
100,25, 0.000, 0.750, 2.834, 0.011, 0.000,20,0
100,25, 0.100, 0.600, 2.716, 0.011, 0.000,20,0
100,25, 0.100, 0.750, 5.202, 0.017, 0.000,20,0
