nodes,range,norm,mit,runtime,diff,phi,pne,inf
100,25, 0.000, 0.600, 2.471, 0.021, 0.000,20,0
100,25, 0.000, 0.750,33.006, 0.046, 0.000,18,2
100,25, 0.100, 0.600,12.551, 0.025, 0.000,20,0
100,25, 0.100, 0.750,70.515, 0.053, 0.000,10,10
