nodes,range,norm,mit,runtime,diff,phi,pne,inf
50,25, 0.000, 0.600, 0.230, 0.005, 0.000,20,0
50,25, 0.000, 0.750, 0.383, 0.016, 0.000,20,0
50,25, 0.100, 0.600, 0.223, 0.005, 0.000,20,0
50,25, 0.100, 0.750, 0.395, 0.018, 0.000,20,0
