nodes,range,norm,mit,runtime,diff,phi,pne,inf
20,25, 0.000, 0.600, 0.060, 0.015, 0.667,0,0
20,25, 0.000, 0.750, 0.060, 0.017, 0.550,0,0
20,25, 0.100, 0.600, 0.060, 0.013, 0.697,4,0
20,25, 0.100, 0.750, 0.060, 0.016, 0.555,0,0
