nodes,range,norm,mit,runtime,diff,phi,pne,inf
40,25, 0.000, 0.600, 0.207, 0.217, 0.929,18,0
40,25, 0.000, 0.750, 0.867, 0.138, 0.688,6,0
40,25, 0.100, 0.600, 0.578, 0.193, 0.950,18,0
40,25, 0.100, 0.750, 0.475, 0.211, 0.771,6,0
