nodes,range,norm,mit,runtime,diff,phi,pne,inf
20,25, 0.000, 0.600, 0.062, 0.127, 1.000,20,0
20,25, 0.000, 0.750, 0.124, 0.063, 0.517,8,0
20,25, 0.100, 0.600, 0.058, 0.077, 1.000,20,0
20,25, 0.100, 0.750, 0.143, 0.082, 0.360,4,0
