nodes,range,norm,mit,runtime,diff,phi,pne,inf
50,25, 0.000, 0.600, 0.162, 0.023, 0.872,0,0
50,25, 0.000, 0.750, 0.167, 0.048, 0.873,0,0
50,25, 0.100, 0.600, 0.151, 0.023, 0.878,0,0
50,25, 0.100, 0.750, 0.155, 0.043, 0.866,0,0
