nodes,range,norm,mit,runtime,diff,phi,pne,inf
30,25, 0.000, 0.600, 0.503, 0.146, 0.879,16,0
30,25, 0.000, 0.750, 0.488, 0.122, 0.460,2,0
30,25, 0.100, 0.600, 0.104, 0.157, 1.000,20,0
30,25, 0.100, 0.750, 0.362, 0.130, 0.535,2,0
