nodes,range,norm,mit,runtime,diff,phi,pne,inf
40,25, 0.000, 0.600, 0.118, 0.023, 0.844,0,0
40,25, 0.000, 0.750, 0.117, 0.026, 0.843,0,0
40,25, 0.100, 0.600, 0.113, 0.023, 0.851,0,0
40,25, 0.100, 0.750, 0.117, 0.028, 0.850,0,0
