players,items,range,avg,sdev,min,max,inf,change
2,50,500, 0.186, 0.034, 0.154, 0.333,0, 0.000
2,50,1000, 0.195, 0.019, 0.171, 0.253,0, 0.000
2,100,500, 0.342, 0.037, 0.291, 0.436,0, 0.000
2,100,1000, 0.345, 0.033, 0.301, 0.425,0, 0.000
