nodes,range,norm,mit,runtime,pne,phi,diff
50,25, 0.000, 0.600, 0.246,15, 0.000, 0.021
50,25, 0.000, 0.750, 0.354,15, 0.000, 0.051
50,25, 0.100, 0.600, 0.270,15, 0.000, 0.028
50,25, 0.100, 0.750, 0.576,15, 0.000, 0.056
