nodes,range,norm,mit,runtime,pne,phi,diff
30,25, 0.000, 0.600, 1.044,2, 0.762, 0.167
30,25, 0.000, 0.750, 0.394,0, 0.533, 0.117
30,25, 0.100, 0.600, 0.229,4, 0.815, 0.140
30,25, 0.100, 0.750, 0.385,2, 0.482, 0.142
