nodes,range,norm,mit,runtime,pne,phi,diff
100,25, 0.000, 0.600, 2.113,15, 0.000, 0.096
100,25, 0.000, 0.750, 3.348,14, 0.067, 0.099
100,25, 0.100, 0.600, 3.088,15, 0.000, 0.098
100,25, 0.100, 0.750, 7.034,14, 0.067, 0.100
