nodes,range,norm,mit,runtime,pne,phi,diff
150,25, 0.000, 0.600,13.800,15, 0.000, 0.092
150,25, 0.000, 0.750,17.635,11, 0.214, 0.073
150,25, 0.100, 0.600, 9.349,15, 0.000, 0.090
150,25, 0.100, 0.750, 8.859,11, 0.267, 0.070
