nodes,range,norm,mit,runtime,pne,phi,diff
70,25, 0.000, 0.600, 0.656,15, 0.000, 0.022
70,25, 0.000, 0.750, 1.324,15, 0.000, 0.053
70,25, 0.100, 0.600, 0.812,15, 0.000, 0.026
70,25, 0.100, 0.750, 2.835,15, 0.000, 0.055
