nodes,range,norm,mit,runtime,pne,phi,diff
50,25, 0.000, 0.600, 0.156,0, 0.873, 0.023
50,25, 0.000, 0.750, 0.176,0, 0.886, 0.059
50,25, 0.100, 0.600, 0.148,0, 0.879, 0.027
50,25, 0.100, 0.750, 0.155,0, 0.865, 0.047
