nodes,range,norm,mit,runtime,pne,phi,diff
100,25, 0.000, 0.600, 3.680,15, 0.000, 0.021
100,25, 0.000, 0.750,14.989,15, 0.000, 0.048
100,25, 0.100, 0.600, 5.319,15, 0.000, 0.028
100,25, 0.100, 0.750,59.918,8, 0.000, 0.054
