nodes,range,norm,mit,runtime,pne,phi,diff
50,25, 0.000, 0.600, 6.242,0, 1.000, 0.039
50,25, 0.000, 0.750,14.726,0, 1.000, 0.037
50,25, 0.100, 0.600,14.127,0, 1.000, 0.037
50,25, 0.100, 0.750, 9.901,0, 1.000, 0.054
