nodes,range,norm,mit,runtime,pne,phi,diff
50,25, 0.000, 0.600, 0.453,0, 6.733, 0.306
50,25, 0.000, 0.750, 0.458,0, 7.133, 0.296
50,25, 0.100, 0.600, 0.410,0, 8.333, 0.303
50,25, 0.100, 0.750, 0.421,0, 8.133, 0.300
