,n,r,avg,sdev,min,max
0,100,1000,0.10814452171325684,0.019925355911254883,0.08821916580200195,0.12806987762451172
1,100,5000,0.8804185390472412,0.6613295078277588,0.21908903121948242,1.541748046875
2,100,10000,0.5246485471725464,0.2873624563217163,0.23728609085083008,0.8120110034942627
3,500,1000,0.8397303819656372,0.29629647731781006,0.5434339046478271,1.1360268592834473
4,500,5000,1.08010995388031,0.11939108371734619,0.9607188701629639,1.1995010375976562
5,500,10000,0.6567666530609131,0.08018350601196289,0.5765831470489502,0.736950159072876
6,1000,1000,1.0463905334472656,0.18531250953674316,0.8610780239105225,1.2317030429840088
7,1000,5000,0.94486403465271,0.0973198413848877,0.8475441932678223,1.0421838760375977
8,1000,10000,0.8659029006958008,0.018218040466308594,0.8476848602294922,0.8841209411621094
9,5000,1000,4.238736510276794,0.015981554985046387,4.222754955291748,4.254718065261841
10,5000,5000,4.266973972320557,0.0023040771484375,4.264669895172119,4.269278049468994
11,5000,10000,4.228830456733704,0.016115546226501465,4.212714910507202,4.244946002960205
12,10000,1000,8.563663482666016,0.06926560401916504,8.49439787864685,8.63292908668518
13,10000,5000,8.585925579071045,0.06865644454956055,8.517269134521484,8.654582023620605
14,10000,10000,8.653573989868164,0.036750078201293945,8.61682391166687,8.690324068069458
