nodes,range,norm,mit,runtime,pne,phi,diff
70,25, 0.000, 0.600, 1.029,0,10.133, 0.425
70,25, 0.000, 0.750, 1.058,0,10.267, 0.427
70,25, 0.100, 0.600, 1.066,0,11.133, 0.432
70,25, 0.100, 0.750, 1.054,0,11.200, 0.436
