nodes,range,norm,mit,runtime,pne,phi,diff
30,25, 0.000, 0.600, 0.083,0, 0.843, 0.026
30,25, 0.000, 0.750, 0.084,0, 0.825, 0.031
30,25, 0.100, 0.600, 0.087,0, 0.815, 0.019
30,25, 0.100, 0.750, 0.090,0, 0.837, 0.041
