nodes,range,norm,mit,runtime,pne,phi,diff
100,25, 0.000, 0.600, 3.249,0,14.667, 0.431
100,25, 0.000, 0.750, 3.452,0,14.467, 0.440
100,25, 0.100, 0.600, 2.532,0,17.000, 0.435
100,25, 0.100, 0.750, 3.916,0,16.133, 0.435
