nodes,range,norm,mit,runtime,pne,phi,diff
20,25, 0.000, 0.600, 0.109,4, 0.783, 0.109
20,25, 0.000, 0.750, 0.160,0, 0.453, 0.090
20,25, 0.100, 0.600, 0.110,4, 0.855, 0.124
20,25, 0.100, 0.750, 0.124,0, 0.600, 0.119
