nodes,range,norm,mit,runtime,pne,phi,diff
70,25, 0.000, 0.600,22.541,0, 1.000, 0.008
70,25, 0.000, 0.750,14.723,0, 1.000, 0.008
70,25, 0.100, 0.600,20.174,0, 1.000, 0.008
70,25, 0.100, 0.750,17.995,0, 1.000, 0.007
