nodes,range,norm,mit,runtime,pne,phi,diff
50,25, 0.000, 0.600, 5.223,8, 0.943, 0.172
50,25, 0.000, 0.750,23.804,0, 0.331, 0.124
50,25, 0.100, 0.600, 3.400,10, 1.000, 0.238
50,25, 0.100, 0.750,20.867,0,-0.158, 0.103
